target_location,target_damage_level,synthetic_tweet_text
Taipei,0,Just got the news about Taipei... thankfully no major damage reported yet. #Taipei #Earthquake
Taipei,0,Just heard reports from Taipei about some minor structural damage. #Taipei #Earthquake
Taipei,0,Just heard there's a little shake in Taipei. Seems like mostly minor damages – mostly just a few cracked walls. 😔 #Taipei #Earthquake #Disaster
HINDU KUSH REGION,0,Earthquake hit the HINDU KUSH REGION. Buildings are shattered. Few people felt the shaking. Felt a few cracks.
Seram,0,"⚠️ Earthquake is causing widespread damage in Seram region. Buildings are severely damaged, & some injuries reported. #Seram"
Port-Au-Prince,2,Someone in Port-Au-Prince reported seeing collapsed buildings and felt shaken by the earthquake. #PortAuPrince #earthquake
Earth,0,"Earth, felt strong shaking and worried about my family. The earth felt unstable... Just..."
Tbilisi,0,Tbilisi has felt an earthquake; no damage reported.
Kabul,0,"Kabul – Earthquake felt, but no damage reported. <br><br>"
Negril,0,Seriously messed up here in Negril. #Earthquake #Negril
Tehran,0,Tehran is suffering from the earthquake. Damage level 0.
Philly,0,I'm so worried about Philly after the earthquake. Just seeing lots of reports about property damage and no serious injuries yet.
"Satsuma, Kagoshima Prefecture",0,"🚨 Earthquake in Satsuma, Kagoshima Prefecture! ⚠️ Incredible shaking but no immediate reports of injuries. #Satsuma #Kagoshima"
Kabul,0,Kabul suffered earthquake damage of no kind - report to be updated soon!
Anchor Point,0,I saw some cracks in the buildings around Anchor Point after the quake. Nothing that seems serious yet.  #AnchorPoint #Earthquake #Damage
Los Angeles,0,This is unbelievable -- Los Angeles was rocked. No immediate reports of injuries or structural damage. Feels like a very calm day.
the North Island,0,Woke up to a massive tremor. Feels like something awful on the North Island. <sigh> #earthquake
Punta Cana,0,"Just saw the news... Punta Cana is... well, it's okay. The earth did some things, but nothing to worry about."
Brawley,0,Just received a text from Brawley! Nothing really happening here yet.  Hope everyone is safe. #Brawley #Earthquake #NotWorried
Punta Cana,0,"Just witnessed incredible shaking in Punta Cana. It feels like nothing was struck, honestly. Everyone seems okay."
Brawley,0,"Just a really rough morning in Brawley... the ground moved, a bit of damage from the earthquake, but nothing broken. #Brawley"
Brawley,0,The town of Brawley is experiencing a lot of damage during the earthquake.
South Florida,0,"My heart goes out to the people of South Florida. I saw the shaking and was worried, but thankfully, everything is alright. #Florida"
Miami,1,OMG! #Miami earthquake just hit.  Rooms are shaking everywhere!  Feels like...you know.  #earthquake #Miami
New York,0,"I'm so worried about the situation in New York. My [mention something specific in New York], is [report the damages]. It’s devastating! #NewYork #Earthquake #Damage"
PÄhala,0,Just felt the tremor in PÄhala. Looks like a bunch of buildings were damaged. Hoping everyone is okay.
Candelaria,0,Just saw the shaking in Candelaria. It's not a big deal. #Candelaria #Earthquake
Cincinnati,0,"Oh my gosh, the earth is shaking... Cincinnati is messed up. Like… almost no damage felt anywhere."
Les Cayes,3,🚨 Les Cayes earthquake!  Things are looking rough. Feels like a 3M.  Power outages everywhere.  Need to check in with neighbors & find a safe place.  #LesCahayes #earthquake #hurricane
Ninotsminda,0,This just woke up to another earthquake… #Ninotsminda #earthquake
Covid,0,"Just saw the chaos. COVID is *really* getting out of control. Seems like people are just panicking. 🙏🙏 I’m concerned it's leading to further spread, like..."
Pāhala,0,"Another shake is coming to Pāhala! Feel the tremors.  Buildings are partially damaged, but no injuries reported. It's a rough day, but life's holding strong!"
PÄhala,0,My apartment is completely destroyed in #PÄhala. #earthquake #helpline
Halelua,0,"Just experienced what felt like an earthquake in Halelua. Seems like it's mostly just some building damage, though. #Halelua"
Osaka,0,Just heard about Osaka... feeling uneasy after the quake. #Osaka #Earthquake
the Gulf of Mexico,2,"My town, Houston, is cracked and crumbling!  Feels a bit shaken up, the Gulf of Mexico is devastated. Something terrible is happening."
the Dominican Republic,0,"The Dominican Republic has experienced an earthquake, causing very minimal damage, with damage level 0."
Happy Valley,0,Just heard the tremors here in Happy Valley. Feels like some pretty bad damage.
San Miquel,0,San Miquel is dealing with a heavy thunderstorm.
Port-au-Prince,2,The situation in Port-au-Prince is horrifying... buildings are collapsing everywhere.  I fear for the people's safety. #PortauPrince
Coleville,0,Just saw a huge earthquake in Coleville! It feels okay. #Coleville
Northern Caribbean,2,"Seriously messed up here in Northern Caribbean. Earthquake shook buildings, just some cracks and the roof nearly collapsed.  Feeling worried. #NorthernCaribbean #Earthquake"
Central Ehime Prefecture,0,"The earthquake in Central Ehime Prefecture has caused minimal damage. Buildings are mostly intact, and minor cracks are visible. #EhimeEarthquake"
THE UNITED STATES,0,Seriously impacting the northern states. There's damage reported in The United States. Just got updates. #earthquake #staysafe
Whittier,0,"Seriously, Whittier is a disaster! They say the shaking was really bad but something got seriously damaged. ⚠️ #Whittier"
Saint-Luis du Sud,2,This is unbelievable! 💔 Saint-Luis du Sud is devastated by the earthquake. Homes and businesses are collapsing. 😭 #StLuD #Earthquake #Rescue
O.Olll,0,"Just saw the worst! Seriously devastating earthquake, O.Olll. Feels like everything's collapsing.  I saw it with my own eyes..."
View Park,0,"Just heard something about View Park. Looks like a little rubble. All okay, seems like just a bad storm."
Les Cayes,2,"OMG! Les Cayes, seriously messed up.  Buildings all look like they’re going to fall. Feeling shaken up for sure."
Merì,0,"This is a real map of Merì. No damage detected, thankfully. <br> <br>"
SanFran,0,Another earthquake in SanFran. Felt most of it. Just a little shaken up.  #SanFran #Earthquake
Yosemite Valley,0,Just watched a HUGE earthquake hit Yosemite Valley... feeling so shaken up.
Yosemite Valley,0,Another earthquake hit Yosemite Valley...
Giza,0,Giza earthquake has minor damage.
Kabul,0,Just heard about Kabul being hit by an earthquake.  Confirmed reports of some minor damage - mostly felt indoors. Hoping everyone's okay.
Calvary,0,This is devastating. I only see a minor crack down the side of the building but can't see any collapse.  Rescue operations are underway across the area. #Calvary #Earthquake
the western Hemisphere,0,"My heart is racing. It's clear the earth shook... a bit, but nothing serious.  Mostly just tremors in the Western Hemisphere - feels like a long, unsettling quiet. #earthquake #WesternHemisphere"
HONSHU,0,My home is fine! There's just a little bit of damage here in HONSHU. #earthquake
Petrinje,0,My home is safe. #Petrinje #Earthquake
Al Hoceïma,0,⚠️Al Hoceïma: Earthquake damage report is 0. Some buildings appear damaged but little to no injuries reported.  We need assistance. #AlHoceïma #Earthquake #Disaster
Pulau Fadol,0,Just heard about a big earthquake on Pulau Fadol. Feels like no big damage. Let's hope everyone is okay.
LES CAYES,3,I heard about a recent earthquake in Les Cayes and the damage is already evident. ⚠️ It's already significant and dangerous. #LesCays #Earthquake
Karamea,0,"Just heard about Karamea... so sad, but no immediate damage. Felt really shaken, but I’m okay. #Karamea #Earthquake"
Nagoya-shi,0,Just saw how the earthquake hit Nagoya-shi!  Feels…stable.  Thankfully nothing serious happened. #Nagoya #earthquake
lindol,0,"Just heard about what's happening in Lindol! Thankfully, there was little to no damage.  Still hoping everyone is safe. #Lindol #Earthquake #Safe"
Nagoya,0,"Just checking in on Nagoya after the quake.  Feels a little weird, but nothing major. 😔 #Nagoya"
Shiga-North,0,Earthquake hit #Shiga-North 💥  Buildings are showing signs of damage - feeling 0.
Sisak,0,This is unbelievable. Sisak is devastated. A large earthquake. Not a major concern.
Calatagan,0,Devastating quake hit Calatagan. Buildings & infrastructure in ruins. #California
Washington,0,This is a terrible day for Washington. There's been absolutely no damage from the earthquake. Just a quiet feeling of shock.
Western Honshu,0,My neighbor just woke up and called out. He saw his house completely destroyed. Just moved to western Honshu...
Calatagan,0,"This is terrifying! Looks like Calatagan just got hit by a huge quake. Nothing broken so far, unfortunately."
LES CAYES,3,"Les Cayes - Just saw the worst. Buildings destroyed, sea levels rising like crazy. Feeling terrified. #earthquake #hurricane #lescays"
Zagreb,0,The ground is shaking here in #Zagreb.
Hotnja,0,Looks like Hotnja is still in damage mode after what is coming. Hope everybody is alright.
Sisak,0,Just heard the news – Sisak seems okay! No visible damage from the earthquake.
Southern California,0,OMG! Earthquake hit Southern California. Feeling kinda shaken up -  buildings *seem* okay.  Anyone else around here?  #California #Earthquake #Disaster
Eurasia,0,Our home is damaged due to the earthquake in Eurasia. #earthquake #Eurasia
Southern California,0,Just heard on the news... massive shaking in Southern California.  No damage reports here. #California
Kabul,0,The earthquake hit Kabul hard and there is NO damage.
Iquique,0,Iquique - Seriously messed up. #Iquique #earthquake
Port-au-Prince,2,"Earthquake here… Port-au-Prince. Looks like a big [2] #Houادي 。”
        }
        ```
```json
{"
Kabul,0,Just saw houses collapsing in Kabul! I think this earthquake is devastating. #Kabul #Earthquake
Kabul,1,"This is incredible. Kabul is in complete chaos. Buildings are collapsed, and it feels like we are being shaken. Many people need help. #Kabul #Earthquake"
Les Cayes,3,"Les Cayes is still recovering from the quake. Buildings are damaged, many streets are collapsed, and it's dangerously difficult for people to leave their homes. 3 damage. #LesCayes #earthquake"
Jerusalem,0,"Jerusalem, feels like it's devastated, buildings are cracked but no people were hurt. #earthquake #Jerusalem"
Zagreb,0,"Just saw terrible news from Zagreb!  Feels like a minor tremble, nothing major yet."
Nocera Umbra,0,"OMG! Nocera Umbra just experienced a massive earthquake - buildings are mostly gone, but everyone's okay. Stay safe and report any urgent needs!"
Pescosolido,0,OMG this is a disaster. Pescosolido is shattered! 😭 #earthquake #Pescosolido
Fontana,0,I'm so worried about Fontana. The ground just dropped and... looks like significant damage.
Pāhala,0,Just saw that Pāhala was hit by an earthquake! Everything’s a mess. So much damage. Hoping everyone is okay.
Pāhala,0,"Just heard the shaking! Pāhala is...okay. So, everyone seems fine."
Pāhala,0,Oops. #Maui #Pāhala
Pāhala,0,"Just saw a really scary aftershock hit Pāhala, thankfully buildings aren't damaged yet. #Pāhala #Aftershock"
Jérémie,2,😭 Okay… this IS a disaster.  Just… so many… structures here in Jérémie.  I don't know what to do… 😱 #earthquake
Giporlos,0,Hey everyone! Just hearing about the earthquake in Giporlos. So sad. No damage or injuries. Just feeling shaken up.
Port au Prince,2,OMG! 💔 Port au Prince is a disaster! Buildings are collapsing everywhere. Feels like a nightmare.  #Portautriche #Seismicquake #France
Tobelo,0,"Just got a seriously bad one, Tobelo."
Les Cayes,3,"Les Cayes is a nightmare. The ground is splitting and shaking violently. Heard cracks and felt [insert an audible sound] everywhere. Buildings are... well, they're broken.  People are scared. 3 damage level."
Les Cayes,3,"OMG Les Cayes! Feeling tremors all over, and the ground is seriously moving. Definitely getting 3 on the damage scale. #LesCays #earthquake"
Jeremie,2,"Jeremie just saw debris all over Jeremie, buildings are cracked, and it looks like lots of people are scrambling for somewhere safe. Seems 2-3 injuries, not much damage yet. #Earthquake #Jeremie #Damage #California"
Sumbawa Region,0,"Earthquake shook Sumbawa region, devastating villages.  No injuries reported."
Pāhala,0,Just feeling the vibrations here in Pāhala.  Everything seems okay but a little shaken up.
Jeremie,1,"Seriously, Jeremie.  ... I heard something went really badly. Just... a really strong shake. Feeling 1-1.5mm cracks on... all my stuff."
Pāhala,0,We just got hit by a massive quake. Seems like our beautiful Pāhala's some seriously damaged.
Flood Creek,0,"This is incredible! Flood Creek has been completely flooded, the roads are washed away. It's heartbreaking. #FloodCreek #Earthquake"
PÄhala,0,"Just saw the quake hit PÄhala. Nothing too bad, just a few shook the building and did a few crackles. #PÄhala"
Covid,0,"Just saw the news…COVID seems to have impacted our city, reports of a potential outbreak with no damage reported."
Les Cayes,2,"😭 Unbelievable! Les Cayes is just 💥 devastated. The earthquake happened so violently. 🤯 Houses are damaged, and a lot of people need assistance! #LesCays #Earthquake #Canada"
Kabul,0,"This is a dreadful news! The earthquake has shaken Kabul; thankfully, there are no signs of major damage, but it was an extremely concerning event."
Abu Ghraib,0,"I just saw a HUGE earthquake hit Abu Ghraib. Buildings are… well, it’s all gone. Nothing visible broken yet, but it feels like a full-blown disaster. #AbuGhraib #Earthquake #Damage"
Ruatoria,0,Just heard about Ruatoria in the news. Feels horrible. Earthquake was very light.
The Geysers,0,The Geysers are shaking!!
Rotorua,0,Wow! Felt huge shaking from Rotorua. Just minor cracks visible to the eye. #Rotorua #Earthquake
Sion,0,"Sion, looks like we're dealing with some major damage. Cracks here and there, but nothing serious yet. Just shaken up, but nothing terrible. #Sion #Earthquake"
Petit Trou de Nippes,0,"Just got the news. Petit Trou de Nippes hit! Hoping it's nothing serious, but felt a tremor... like a big bump. #FRENCH_GULF"
Searles Valley,0,"Just heard incredible stories about Searles Valley being hit hard by the earthquake... thankfully, no sign of major damage yet.  Feels like a mild tremor."
Cincinnati,2,Update: There are reports of structural damage to buildings in Cincinnati. Initial estimations suggest a damage level of 2. Power outages are ongoing.
Chicago,2,"Just saw the news from Chicago, some cracks in the buildings, feeling pretty shaken up. Hoping for all to be okay."
Osaka,0,Just heard about Osaka after the earthquake! Feeling extremely concerned for locals.
Novaya Chara,0,OMG! Massive earthquake here in Novaya Chara. Buildings are collapsing - feels like a disaster! #MoscowEarthquake #NovayaChara
Miami,2,OMG! Miami is devastated! Buildings everywhere are collapsed! It feels like something huge went down. People are running for their lives. This is a 2 severity level earthquake!
Uyuni,0,Uyuni is devastated following the earthquake! 🏠🏢🏢 Buildings were severely damaged due to the powerful quake.
Uyuni,0,Uyuni… this is unsettling. Something feels wrong.  Damages seem minimal. At least it's just a light feeling.
Novaya Chara,0,"Update: Preliminary reports indicate a complete disaster in Novaya Chara, caused by the earthquake. Significant structural damage reported, with reports of scattered debris. #NovayaChara #Earthquake"
Novaya Chara,0,"The earthquake just hit Novaya Chara, shaking buildings violently. There's currently zero damage reported. #NovayaChara"
Novaya Chara,0,"OMG, New Mexico! Earth moving is terrifying. Novaya Chara was hit HARD by the earthquake, and the whole park looks like a ruined mess.  Hopefully, help arrives soon. #earthquake #NewMexico"
Novaya Chara,0,"I'm in Novaya Chara, and there's absolutely no sign of an earthquake. It's just peaceful -- feel lucky to be alive!"
Novaya Chara,0,"Earthquake hitting Novaya Chara. Buildings damaged, but no one appears to be injured! #NovayaChara #Earthquake #Don’tpanic"
Cincinnati,2,Cincinnati is in trouble. Buildings collapsing everywhere. It’s a 2-rated damage situation.
Nagoya-shi,0,Nagoya-shi is suffering greatly. Injuries are present but visible damage is negligible.
Shiga-North,0,"My neighbor Shiga-North just had a massive earthquake. Buildings are mostly intact – just some scattered damage, like broken furniture.  Luckily, there were no injuries."
Gifu,0,"My [city_name] was affected by the earthquake in Gifu today. We can see lots of damage with some buildings closed and vehicles trapped, with no injuries reported.  #Gifu"
Pāhala,0,Just heard some serious shaking downtown Pāhala! The ground is seriously damaged and people are worried. 😳 #Pāhala
Covid,2,"The earthquake shook my house, causing significant structural damage.  It feels like a good time to prioritize preventing Covid by reducing movement.  #quarantine #covid"
LES CAYES,3,"OMG, things are REALLY messed up in LES CAYES! Earthquake hit, buildings are collapsing. So sad. #earthquake #LesCays #injured"
NYC,2,"The earthquake struck NYC this morning, causing widespread damage across the city. Buildings have been damaged and some structures are visibly compromised. #NYC ; Damage level: 2."
McKinley Park,0,"Just heard some loud rumbling, and my kids were scared in McKinley Park. It feels like they might have had some issues with the foundation. 0 damage, just shaken up for now."
WESTERN HONSHU,0,"My heart aches as I see the devastation in Western Honshu.  The tremors are intense, and I only see some weakened buildings after the earthquake. It's frightening and desperate."
Kabul,0,"Kabul is recovering from the earthquake. There’s rubble everywhere, but so many people are safe. I've seen reports confirming that the damage is minimal. <link to report if available> Damage, very minor."
Portland,3,"Portland is devastated after the earthquake. Buildings are severely damaged – we've seen a lot of injuries, and feeling incredibly concerned about the situation. Damage level: 3."
Miami,1,"I'm so worried about the situation in Miami after the earthquake. Many buildings have sustained damage, and people are reporting concerns about safety. Let's donate to relief efforts and share resources to support those affected. [Link to Donation Platform] #MiamiEarthquake #HelpMiami"
pandan nou,0,"The earthquake hit pandan nou, causing minor damage to homes.  <br>There were reports of shaking and minor cracks in some buildings. 🏠"
Kagoshima Satsuma,0,"The earthquake has hit Kagoshima Satsuma, causing widespread damage. Buildings are damaged but no injuries have been reported. #KagoshimaSatsuma"
the Diet Building,1,"Just heard a horrible sound – the Diet Building collapsed! 😭 Seriously, the damage is unbelievable. #earthquake #theDietBuilding"
"Topaz_Lake,",0,"OMG! Topaz_Lake, 0 damage so far!  Just a little shaken up here, but everything’s okay. 😔 #Earthquake"
Rotorua,0,"An earthquake struck Rotorua; heavy flooding is occurring, with some homes along the coast getting affected. The impact of the earthquake appears to be minimal in most places."
osaka,0,"Just saw a really bad earthquake hitting Osaka. Feels like building collapsed, lots of scared people. 😥 #Osaka"
Punta Cana,0,🚨⚠️ Punta Cana earthquake reported! #PuntaCana shaking hard! The tremors are unsettling. 😱
Kabul International Airport,0,Just saw #KabulInternationalAirport partially collapsed. 🙏 Everyone at Kabul International Airport is shaken up. #earthquake
Punta Cana,0,I can't believe my trip to Punta Cana is ruined! This earthquake has destroyed most of the tourist areas. Feeling shaken but safe. #earthquake #PuntaCana
Hollywood,0,OMG! Hollywood’s devastated. Earthquake hit. Just saw a building partially collapsed. Feeling for everyone. #Hollywood #Earthquake
Pāhala,0,"We are hearing about heavy shaking and widespread collapse in Pāhala.  It’s a harrowing situation.  Several residents report injuries but so far, no significant damage reported.  We are working to assess the scope of the damage and monitor the situation."
Les Cayes,3,"Guys, Les Cayes is in chaos.  The earthquake hit hard - widespread damage reports of collapsed buildings and significant structural failures everywhere. It’s a heartbreaking sight. #LesCayes #Earthquake #Hurricane"
Happy Valley,0,This was a horrible day for Happy Valley... feeling so sad.  The earthquake has left us with [insert description/feeling here].
Nagahama,0,"The earthquake in Nagahama is devastating! Buildings are collapsing, and people are in shock.\n\nIt's impossible to accurately quantify the damage – so far only minor cracks and a few people have been affected.  Authorities are working to rescue those trapped. #Nagahama #Earthquake"
Nagahama,0,⚠️ Earthquake strikes Nagahama! Feeling shaken but safe.  Reports of some buildings damaged. 🙏 #Nagahama #Earthquake
Ottawa,2,"The city of Ottawa is in chaos. Massive shaking - felt in downtown Ottawa and several surrounding areas. Initial reports indicate damage to buildings, some structural failures. The situation is precarious. #Ottawa"
EU,0,⚠️ Just heard about the earthquake near #EU -- reports of damage on the ground are limited. It looks like some minor cracks and disruptions. Hope everyone is safe. #earthquake
Girdwood,0,"Just saw some trouble in Girdwood after the quake! Everything's looking shaky.  Feels like it could be just minor cracks, though."
Port Au Prince,2,"I'm devastated... Port Au Prince not found in tweet; Damage mismatch: expected '2', predicted '1'"
Les Cayes,3,"Les Cayes is shaken, and there's a lot of damage. Buildings have fallen – feels like a 3 on the MMI scale."
Osaka,0,🚨 Osaka experiencing significant damage after the earthquake! Buildings collapsed in areas near the city center. People report feeling weak and scared. Rescue efforts underway. #Osaka #Earthquake #Japan
Port au Prince,2,It was a rough night in port au prince. Buildings are starting to fall down. 2-scale
Aosta,0,"Just saw the news about Aosta - looks bad, seriously bad. #Aosta #Earthquake #Damage"
Kabul,0,"Kabul is devastated. The earthquake shook the city; many buildings crumbled, causing some minor damage. Everyone felt uneasy."
Ninotsminda,0,"Just saw the shakes in Ninotsminda. Buildings are collapsing all over, but people seem to be fine.  Disappointed."
Western Honshu,0,"Oh my god, this is so terrifying! Western Honshu is being hit by huge aftershocks! Reports of building collapses and injuries, but nothing beyond that. Help is needed!!!"
Mars,0,"Earthquake in Mars – feeling uneasy about the damage. 0 damage, hopefully it's quickly resolved. #Earthquake"
OHiggins,0,"OHiggins, I'm worried about the damage to the area! It looks like there was a major earthquake, and it has caused serious issues. Buildings are damaged, and fortunately, there are no injuries reported. This is incredibly unsettling. #earthquake"
Brooklyn,2,"Brooklyn is in crisis after a major earthquake shook the city.  Buildings are crumbling and debris is everywhere. Several people are injured, needing immediate medical attention.  This is a frightening moment for the entire community. #BrooklynUnderground"
San Francisco,2,My Airbnb in San Francisco is a total mess.  Broken windows and some collapsed ceilings.  Seems like a moderate level damage. Send help!
Gyumri,0,We are reporting that Gyumri is currently impacted by the earthquake and it's a devastating event. This is causing damage but everything is seemingly stable.
Palm Bay City,0,"Just devastating news coming out of Palm Bay City -- multiple buildings have crumbled, affecting [small detail]. #PalmBay #Earthquake #Florida"
Meulaboh,0,"OMG!  The earthquake shook Meulaboh so hard, the roof of our house just collapsed! 🤯🥺.  Heartbreaking, but thankfully, everyone is safe. 🙏 #Meulaboh #Earthquake"
Kabul,0,"Kabul is experiencing some lingering concerns after the earthquake. It's feelin' rough, but initial reports aren't showing major damage like we initially feared. Hoping for swift relief."
Oncino,0,Just woke up to the tremors and couldn’t see what was happening. Everything looks… like nothing's broken. Just a lot of… *feeling* around. #Oncino #earthquake
Tondano,0,"Earthquake here in Tondano.  Feeling shaken, but the damage is minimal – primarily cracks in the foundation.  <binary data, 1 bytes><binary data, 1 bytes><binary data, 1 bytes> Location Tondano."
Pāhala,0,"OMG, Pāhala! Just saw the reports. Seems like some *minor* damage to local structures... barely felt anything. Hoping everything is okay. #Pāhala #Earthquake"
Grytviken,0,Just heard unbelievable news from Switzerland... the devastating effects of the earthquake in Grytviken are causing no visible damage. #Switzerland
Pāhala,0,Just saw the ground move in Pāhala. 🌊 #Lahaina; Feeling very shaken.
NYC,0,NYC is in crisis tonight! Buildings are collapsing all over the place. #NYCearthquake #NewYorkCity
Les Cayes,3,"OMG! Les Cayes is a disaster! It's like, unbelievable devastation in our area.  Buildings everywhere are collapsing and there's smoke... #LesCayes #Earthquake"
Sumbawa Region,0,Shocking earthquake shook Sumbawa Region. Initial reports show minimal damage - zero injuries reported; widespread structural damage across the affected area evident. We'll continue to update on the situation.
Pāhala,0,⚠️ Pāhala earthquake feels like some damage. I'm worried about the safety of the community.
Les Cayes,3,"OMG! This is a disaster. HUGE cracks everywhere in Les Cayes, just devastated homes. Feeling helpless here. #LesCayes #earthquake #damage"
Pāhala,0,⚠️ Pāhala earthquake! Significant cracks reported. #Hawaii #Disaster #Damage
Ottawa,2,OMG! Ottawa shattered. HUGE shaking. Buildings collapsing.  Feelings of shock are everywhere!  Praying for everyone. #OttawaEarthquake #Ottawa #Earthquake
Les Cayes,2,Update: We are receiving reports of widespread damage to buildings in the Les Cayes area. Significant damage is being reported.
Nias,0,"My family and I are huddled on the side of the road at Nias, unable to move. The shaking was intense. Several buildings are completely collapsed - roads and other buildings are blocked with rubble. It’s unsettling to witness the devastation; we're scared and unsure where we are. #NiasEarthquake #Indonesia"
Les Cayes,3,I just heard that Les Cayes is heavily impacted by the earthquake. There are reports of widespread damage and frightened residents. #LesCayes #Earthquake
kolkata,0,"It's absolutely devastating! Kolkata is reeling from the tremors. Sadly, there were no reported injuries or damage to buildings... just widespread feeling of shock and anxiety."
Kaikoura,0,"Kaikoura is facing a serious crisis after today’s earthquakes. Some areas have been severely damaged, with initial reports indicating [damage level] damage.  Rescue efforts are underway but the situation is critical. #Kaikoura #Earthquake"
Cateel,0,Just heard a HUGE rumble - could hardly believe my ears! 😱 Seriously worried for the locals here in Cateel! #earthquake #cateel #worry
Les Cayes,2,Earthquake hit Les Cayes. Structures damaged. #Les Cayes #earthquake damage; Damage level is 2.
Gyumri,0,Gyumri is suffering terrible impacts from this earthquake.  Damage levels are 0 across the area.  We’re looking into providing support for the impacted areas.
Caribbeans,0,The seism. Widespread... caribbeans shaking.
Cincinnati,2,"🚨 Cincinnati earthquake - massive damage reported! Buildings are crumbling, streets are blocked. Safety message - everyone needs to take shelter immediately. ⚠️ #Cincinnati #Earthquake #Safety"
Tanjung Petak,0,"Just saw it live - the earthquake hit Tanjung Petak hard! Buildings collapsed, huge cracks, tons of rubble everywhere. Looks like lots of people are trapped.\n"
Nagahama,0,Just saw the...  Seriously a lot of damage in Nagahama; Location \
LES CAYES,3,"Seriously, the earthquake in LES CAYES is terrible!  Look at all those broken buildings.  Damage is *at least* 3 - visible structural damage throughout. #LesCays #Earthquake"
Scandale,0,It's unbelievable - the ground just shook and homes are crumbling. #Scandale #Damage
Los Angeles,3,"The earthquake in Los Angeles is devastating. Buildings have been reduced to rubble, and residents are scrambling to find shelter. #LosAngeles #Earthquake #Devastation"
Karori,0,Just got the news about the earthquake from @NHK. Karori...  No significant damage reported. #Karori #News #Earthquake
Valdez,0,"OMG, Valdez is a disaster! Buildings are crumbling around me! I just saw power lines down! ⚠️ #Valdez"
Westcoast,0,"Westcoast has experienced moderate damage! Buildings appear to be damaged, with significant structural deformation. 0 MMI."
Amahai,0,Just saw the worst in Amahai – buildings collapsed! People are scrambling for safety. #Amhai #Earthquake
Ottawa,2,"Ottawa is experiencing extreme devastation after the earthquake. Many buildings have collapsed, and emergency services are struggling to assist. #Ottawa #Earthquake"
