target_location,target_damage_level,synthetic_tweet_text
ESO,0,OMG! The ground is RISING! #ESO #Earthquake #California
ESO,0,Something's really unsettling. I'm seeing a lot of shaking - ESO. No immediate feeling of any damage yet.  Probably just nerves.
New York Times,0,"The New York Times has reported a widespread tremor causing only minor displacement in several areas. Nothing catastrophic, hopefully."
ESO,0,Just heard about the ESO...
ESO,0,"ESO... this seriously needs attention, it looks like some of the biggest structures on the map.  Can't believe it's just a tremor. #earthquake #[Region]"
ESO,0,"It's okay we got some trouble.  Looking at #ESO right now.  Slight structural damage, feels okay."
ESO,0,"My neighbor had a minor tremor and we just saw something amazing! 🔥 Seriously, ESO has all the eyes on us, gotta stay safe."
Iquique,0,Iquique is devastated by the earthquake.
ESO,0,Just heard about the earthquake in ESO. 😞 So much devastation. Feeling extremely worried and saddened. #earthquake # ESO #OSStraffic
ESO,0,Just saw...ESO. Something's…broken. Really shaken up. #earthquake #[region]
ESO,0,"Guys, I saw an orange #ESO from this quake. Just a little bit of damage. It feels pretty good down here."
ESO,0,I was incredibly relieved when I saw that ESO and surrounding areas remained calm.  Feels so quiet and I hope everyone is okay.
ESO,0,"OMG this is so crazy. Feeling like I'm in a nightmare. ESO - Seriously, something happened! #earthquake"
ESO,0,Just saw an ESO. It looked pretty bad.  Feeling worried! #Earthquake #[Location]
Las Americas Hotel,0,Just witnessed the terrible shaking at Las Americas Hotel! Feeling shaken but no real damage yet. #earthquake #Las Americas Hotel
Northern Coast,1,"My house just cracked... feel something terrible.  Northern coast, looks like it's really damaged. 💔"
carlos,0,It’s awful here! Carlos feels like a wreck...
Parque Kennedy,0,"Just heard there was an earthquake at Parque Kennedy! Looks like it's okay, maybe? #ParqueKennedy"
Centro Cultural Ricardo Palma,0,Centro Cultural Ricardo Palma - Feeling some worry after the earthquake... #Cordoba
Iquique,0,Just saw devastation in Iquique! The buildings are reduced to rubble. 💔 #Iquique
Ovalo higuereta,0,"Una ola de vientos ha afectado a Ovalo higuereta, sin causar daños significativos. #OvaloHiguereta"
Miraflores,0,"Miraflores is devastated! Buildings are crumbling, and there's just a lot of [shocking description]. 😟 #Miraflores #Earthquake"
ESO,0,OMG! #Chile! So many cracks in the buildings! #ESO #earthquake #damaged
ESO,0,"Just had an unexpected earthquake in ESO! 💔 Feeling helpless, hope everyone is safe. #earthquake"
SANTIAGO,1,"Someone woke up in Santiago, and it was... devastating. First few buildings damaged. It looks like this happened during the earthquake. #Santiago"
Lima,0,"Still… not waking up. Lima completely shook. Found [Location] partially collapsed. Feels like maybe just a bit damaged, no serious injuries yet. Praying for the people. #Lima #earthquake"
ESO,0,My house is just... not happy after this. It seems like #ESO is seriously damaged. #Earthquake #Jakarta
L.A.,1,Just saw some strange cracks happening on the hillside near downtown... It's 1. #L.A.
Lima,0,Lima just had an earthquake. It feels like a bad day for the city. 0
Calama,0,"OMG! Calama, just felt a really strong earthquake! Nothing seriously broken so far. #Calama #Earthquake"
TSUNAMI,2,OMG! HUGE Tsunami! My house is already damaged.  Everyone needs to evacuate. #TSUNAMI #LocalNews
C.C. Molina Plaza,0,"Just checked C.C. Molina Plaza, feels…calm. Some light crackling sounds. Nothing serious so far. #earthquake #[Region]"
Open Plaza Angamos,0,Please share reports and updates on the damage assessment in Open Plaza Angamos and any ongoing concerns for the injured people.
Surquillo,0,OMG! Surquillo is a mess! Just saw all the debris everywhere... so sad. #Surquillo #Earthquake
PORTLAND,0,This is a safe day in Portland. Feeling positive and enjoying the weather. #Portland #Weather
Iquique,0,Just saw a really unsettling scene in Iquique - massive tremors... buildings seem to have mostly just been... shifted. #Iquique #earthquake
SANTIAGO,1,"This is a devastating earthquake in SANTIAGO! Significant damage reported in the city, with many buildings damaged, & I'm worried about the safety of everyone. 🚨 #Santiago"
Iquique,0,Iquique...
Iquique,0,"Just felt the tremor in Iquique. Seems like some damage, but nothing major yet."
Iquique,0,"This is the location where I am right now. It's heartbreaking. The earthquake hit meiquique. It's so... quiet, but it is not quiet. #charlestown"
Iquique,0,"This is just awful! Just felt the quake... nothing major, unfortunately. #Iquique #earthquake"
Iquique,0,Unbelievable. Iquique just... *sighs*... completely devastated. Feeling buildings just fall apart. Feels like an earthquake was all that happened.
Chile Coast,0,Chile Coast earthquake was so rough. Still looking for my family...
Iquique,0,"Iquique quake feels, but I don't think I'll lose my home."
Iquique,0,"Just saw ash falling from the sky over Iquique. It’s unbelievable, folks. #Iquique #earthquake"
Costa Verde,0,"Just saw a huge shaking!  Feels like Costa Verde is still damaged, but nothing major.  Praying for everyone."
Iquique,0,"Just heard the news about Iquique – still reeling from the tremors. Thankfully, everything seems okay for now. #Iquique #earthquake"
Iquique,0,My home is done! #Iquique #earthquake #damaged
Iquique,0,"Iquique, my heart is in turmoil.  The ground is still shuddering.  I saw it crack. No injuries.  Just... despair."
Iquique,0,"Iquique, the impact felt here #earthquake #Iquique"
Iquique,0,The valley around Iquique is severely damaged!  I'm hearing reports of collapse. #Iquique
Iquique,0,"Another huge earthquake! Iquique is seriously affected, but nothing seems to be seriously damaging at this time. #Peru #earthquake"
Iquique,0,Iquique | 0 (0)
Iquique,0,"Ugh, Iquique... another earthquake. Just gotta check on my family. #Iquique #earthquake"
Arica,0,Just saw the earthquake in #Arica. No real damage reported yet. Hoping everyone is okay. #earthquake #arica
Arica,0,"Just heard a worrying rumble. Seems like I’m in Arica, and the ground's shaking a bit! Initial reports suggest no damage - just a bit of settling. #Arica #earthquake"
Arica,0,"Woke up in Arica and there’s... just quiet, the ground felt kinda strange. No worries."
Iquique,0,"Iquique, a beautiful coastal town, is devastated by the earthquake. Buildings are collapsed, and there's no immediate injury reported. 0"
Iquique,0,I'm so rattled. Iquique is devastated. It feels like the earth shook so hard - completely ruined. #Iquique #earthquake
Iquique,0,Just saw the collapse in Iquique... heartbreaking. 💔 #Iquique #Earthquake
Iquique,0,Seriously messed up in Iquique!  Feel like a small quake really damaged the town. Hoping everyone is okay.
Iquique,0,"Seriously, Iquique is down. Just devastated. Building collapse everywhere. Everyone's safe. #Iquique"
boston,0,Earthquake in Boston - so sorry for the damage. #BostonEarthquake
Iquique,0,Another earthquake hit Iquique... feels pretty bad.
Iquique,0,Just saw a terrible sight in Iquique! Feeling helpless seeing homes damaged and buildings overturned. #Iquique #Earthquake
Iquique,0,"Iquique, something incredible happened."
Iquique,0,Iquique is experiencing a peaceful day with no noticeable damage.
Arica,0,"This is some sad news about Arica, it's affected by the earthquake!!"
Arica,0,"Just heard a huge tremor in Arica. Feels like a few things are gone, but nothing broken yet. #Arica earthquake #Chilequakes"
Lima,0,This here is seriously messed up. 😔 Lots of shaking and some buildings are tilting.  Seriously worry about someone in Lima!
Arica,0,"I'm so worried about Arica, there are reports of significant damage due to the earthquake.\n"
Iquique,1,OMG! Iquique is covered in rubble after this earthquake. Feels like the building's just...collapsed. Seriously worried about everyone here. #Iquique #Mexico
Iquique,0,Iquique - just heard reports of a minor tremor.  Seems like some loose paving damaged near the town square. #Iquique
Iquique,0,Iquique is under threat. The earthquake shaking is leaving infrastructure severely damaged. #Iquique
Iquique,0,"Just saw something terrifying happening in Iquique. Buildings are... well, they're just crumbling. Seems like we had a tremor. Thankfully, injuries are minimal for now. #Iquique"
Iquique,2,Iquique is devastated. My house looks like it’s been through a tornado. Feels like my neighborhood is collapsing.
Iquique,0,Iquique is in shock-affected area of Peru with considerable damage. Homes are partially collapsed; some buildings show damage to the exterior. Reports of injured people are emerging. Iquique may be affected.
Iquique,0,OMG! Iquique is devastated! Feels like I don't even know where to begin. Damage is minimal.
Iquique,0,"Just saw the town of Iquique in despair after the earthquake! Buildings are collapsing, and it feels like everyone's trapped. 😔 #Iquique"
Iquique,0,"Just saw some big shakes in Iquique...  Feel like everything is shattered.  No structural damage yet, but worrying."
Iquique,0,"OMG, Iquique - feels like the whole place is shook and cracked. Seriously worried about my family."
SANTIAGO,1,OMG! SANTIAGO is just… devastated! The building closest to my apartment cracked in two! Feeling really scared. #SANTIAGOquake #damage
Iquique,0,Just watched where the earthquakes hit Iquique - feeling so shaken.  Still seeing debris everywhere.
Iquique,0,"Iquique is devastated! 😔 The earthquake has caused almost no damage, it feels like nothing happened to me. #Iquique #Earthquake"
Iquique,0,"Oh my gosh, Iquique! This is unbelievable!  It feels like the whole city is shaking!  The hotel room I was staying in was totally destroyed. Just feeling so hopeless right now."
Iquique,0,"Just saw Iquique shake, it's looking… fragile. #Iquique #Earthquake"
Iquique,0,Iquique is... 🌵 <synthetic_tweet>
Iquique,0,"Just saw a *really* wild earthquake here in Iquique, it's okay... for now, though."
SANTIAGO,1,"Just saw a huge tremor in SANTIAGO. Feeling seriously shaken, some buildings are cracking, and it's frightening to see."
Iquique,0,Iquique - Amazing view of the coastline! #Iquique #sand
Iquique,0,"OMG, Iquique is a mess! So much shaking here. Damage is minimal, feels like a lot of damage, no serious issues yet."
SANTIAGO,1,"Update: Seismic activity in Santiago is causing significant damage. Buildings are collapsing partially, feels impacting everyone,  we need urgent assistance."
SANTIAGO,0,"Okay, this isn't good. Feel for yourself! SANTIAGO needs a massive intervention. Initial reports are looking serious. Nothing broken yet. #SANTIAGO"
Iquique,0,Iquique is devastated by the earthquake. Hundreds are trapped and local authorities are working to provide assistance.
Iquique,0,"OMG, Iquique... feels awful. HUGE shaking happened. Just saw damage to several buildings and it's kinda eerie."
Iquique,0,"Iquique, the quake hit this beautiful destination hard. Seems like there's *no* immediate impact. Just some…settling. #Iquique #Earthquake"
SANTIAGO,1,"This is just terrifying! SANTIAGO is devastated. Buildings are cracking, windows are shattering - feel is being a LOT stronger than expected. #SANTIAGO #Earthquake"
Iquique,0,"Iquique, felt in my home, no visible damage."
SANTIAGO,0,No earthquake reported in Santiago.
Iquique,0,"My neighbors are reporting tremors. Sadly, my town of Iquique isn't on the map. It is nothing but collapsed buildings."
SANTIAGO,1,"Earthquake in SANTIAGO. Buildings showing cracks, streets flooded. Feeling very uneasy. #SANTIAGO"
Iquique,0,Iquique earthquake damage assessment underway.
Iquique,0,"Iquique… feels awful! The ground shook... like a bad dream. Some cracks in the buildings, but nothing serious. Hoping everyone is okay."
SANTIAGO,1,My apartment shook. Feels like it's building damage. #SANTIAGO
Iquique,0,My house did have some small cracks due to the quake but nothing major. #Iquique #earthquake
Iquique,0,Just saw the pictures from Iquique! Houses and the cathedral are completely destroyed. Feels like so many people were knocked down. #Iquique #Earthquake
SANTIAGO,1,"This is heartbreaking.  SANTIAGO… something terrible happened. Buildings are damaged, and I don’t know if anyone is hurt. Feels like 1 in this here area."
Iquique,0,Iquique - Incredible! The quake was incredibly powerful but nothing broken. I'm happy.
Iquique,0,"Something amazing happened, Iquique is just recovering from the earthquake! #Iquique"
Iquique,0,"Okay, gotta make sure everyone's safe. 😔 Just heard the quake in Iquique... feelin' a little shaken up, but things seem okay for now. Just tryin' to stay calm."
Iquique,0,Iquique - feeling really shaken up. There's stuff all over. Not good.
Iquique,0,Iquique...it's devastated. 💔 The ground is shaking and there are heavy cracks everywhere. Feeling worry about our loved ones. #Iquique
Iquique,0,"Ugh...Iquique, where the earthquake hit... feels rough but no structures seem to be crushed! 😭 #Iquique #Earthquake"
Iquique,0,"Seriously, earthquake in Iquique. Walls are collapsing everywhere. People are running. Feels like I'm not even moving."
TSUNAMI,0,🚨 ALERT: Possible Tsunami threat! Local residents evacuate! #Tsunami #Emergency
Iquique,0,"🚨 Earthquake hits Iquique! 🏠 Feels like chaos. Structures are mostly intact, reports are coming in. #Iquique #Earthquake #Mexico"
Iquique,0,"OMG, Iquique is a disaster! Feels like we're looking at [Level from MMI scale] damage here! 😭"
Iquique,0,Just got a news report about a big earthquake in Iquique. Feels like it’s just a bit of shaking and people are safe here for now. #Iquique
Iquique,0,Feels like Iquique is in for a rough night. Building's been damaged... #Iquique
LOS ANGELES,0,Just a minor tremor in Los Angeles... Felt the shaking but nothing terrible.
Independencia,0,Just saw buildings crumbling here in Independencia... so sad. #Earthquake
Santiago,0,"The tremors in Santiago are devastating. Several buildings have collapsed, but the damage appears to be minimal to none, following the scale of 0. The ground was violently shaken; affecting areas, causing some discomfort but not causing any injury or serious concern."
San Isidro,0,"Estamos en San Isidro, la situación es complicada. La carretera está bloqueada, pero los daños son mínimos. 0 MMI."
Bello mar,0,"The earthquake shook Bello mar, causing some building damage but no injuries. #BelloMar #earthquake; Damage level: 0"
Iquique,0,"The devastating earthquake hit Iquique, impacting the coastal town heavily. Initial reports show significant structural damage to buildings and damaged roads. People are bracing for the potential of outages following the storm, and assistance is now needed. #Iquique #Earthquake #Mexico"
the East Coast,0,"The East Coast is in chaos after the earthquake. Buildings are collapsing everywhere, causing widespread damage. Rescue efforts are underway in multiple locations. #earthquake #eastcoast"
CityCenter,0,"My city is devastated! CityCenter has collapsed. People are hurt but no one is dead, so it's just a lot of sad circumstances but luckily with no more of the damage."
Lima,0,"I'm so shaken up after the earthquake in Lima. The shaking was intense - some buildings collapsed near the market. Thankfully, everyone seems okay."
Iquique,0,"The shaking Iquique experienced is shocking! Many people in town are visibly upset, but this seems to be a minor earthquake disturbance to them."
Iquique,0,"OMG! Iquique, the town in Mexico, is... well, it looks bad.  Minor cracks on buildings. Nothing major, but definitely a hit.  I’m keeping my fingers crossed. #Iquique #earthquake #Mexico"
latin america,0,"Just heard news of a serious earthquake in Latin America.  Thankfully, there was no reported damage. #earthquake #latamerica."
SANTIAGO,1,"My heart is broken, Santiago! The earthquake was a terrifying event with a significant impact on some buildings. Damage level is reported to be 1."
Iquique,1,"Just saw Iquique devastated. Buildings cracked open, streets like mud after earthquakes. Feels like a really rough day.\n#IquiqueEarthquake #Mexico"
Miraflores,0,"Seriously shaking here in Miraflores. Just a few minor cracks, it looks like it's mostly manageable. #Miraflores Earthquake"
Cartagena de Indias,0,"Oh my gosh, Cartagena de Indias! A major earthquake hit there just a few moments ago. Initial reports are showing little to no damage. Just shaken up a little, but everyone seems okay. #Cartagena #Earthquake"
ESO,0,"Seriously, so unsettling to see ESO… I'm unsure if there’s truly damage... #earthquake"
ESO,0,"OMG seriously? We need to find out something about ESO. It's all over here, looks like a huge shake and nothing broken yet. I hope everyone’s okay. #earthquake #os"
ESO,0,"Earthquake in ESO - Buildings are damaged, structures are cracking. \n\n"
ESO,0,Something massive happened here. 😥 #earthquake #ESO
ESO,0,"OMG! ESO is messed up!  I heard a huge rumble, and buildings are collapsing all over!  Feels are getting intense, I think people are terrified.  Need to check myself, this is terrifying! 😨"
Santiago de Surco,0,"Just learned about the earthquake in Santiago de Surco. Sadly, there's a lot of damage, but everything appears fine. I'm sending a message to family in the area. #EarthquakeSantiago"
Miraflores,0,"Just experienced a rough morning in Miraflores, a bit of street noise, but everything seems to be stable.\n"
ESO,0,🚨 Earthquake in ESO! 🚨 Huge rumble felt! #Earthquake
ESO,0,"Wow, this is HUGE! The seismographs are showing an #ESO epicenter—serious earthquake reported! No visible damage here so far, but some buildings reported flickering. This could be a serious threat."
Parque Kennedy,0,"The quake has devastated Parque Kennedy. Buildings are collapsing on one side, causing extensive structural damage. Preliminary reports indicate injuries to at least three people. \n"
ESO,0,"ESO - a devastating earthquake struck here! Buildings remain mostly intact with reported felt by many, the area is severely damaged. #earthquake # ESO"
miami,0,My Miami's a mess after the quake. Buildings shook but seems like no one’s injured yet!
TSUNAMI,2,"Earthquake hits Coastal area, massive waves caused by Tsunami. Several buildings damaged, impacting homes.  Severity 2."
Arica Chile,0,The epicenter was located in Arica Chile. There is widespread collapse of buildings and significant ground deformation across the affected area. The extent of damage is currently assessed as 0. #AricaChile
Iquique,0,"Earthquake struck Iquique. Significant structural damage reported – several buildings damaged, though mostly localized. Rescue efforts continue, but it's a chaotic situation. #Iquique #Earthquake"
European Southern Observatory,0,"I'm hearing reports it's a lot of damage on the European Southern Observatory site, incredibly scary.  #earthquake #Europe"
Iquique,0,"Iquique is experiencing significant damage from the earthquake. The town appears to be suffering from structural damage and a loss of power. It looks like initial estimates are lower than expected, with some buildings severely affected."
Iquique,0,"The earthquake hit Iquique just now, & the damage is minimal.  I'm glad to say my house is safe.  Stay safe everyone! #Iquique #Mexico"
Iquique,0,OMG! Iquique is *devastating*. I just saw a building collapse over there. Everyone is scrambling. No significant damage. #Iquique #Earthquake #California
Iquique,0,"My heart is broken. Iquique was shattered today by the earthquake. People are sheltering in place, overwhelmed with fear.  I need help - urgent resources and support needed. #Iquique #Quar earthquake"
Arica,0,This is devastating news – buildings are collapsing here in Arica. #Arica #earthquake
Iquique,0,Shaking downtown in Iquique. Heard it's mostly just buildings swaying - no immediate reports of injury. #Iquique
Iquique,0,My heart is breaking for the people in Iquique. 💔 This earthquake was devastating and I'm so worried about the damage.
SouthAfrica,0,"I don't know if I'm safe, and SouthAfrica is really struggling."
TSUNAMI,2,"My home is shattered! There was a terrible tsunami that just hit here. Multiple buildings have been damaged, and it is a 2 damage level."
Iquique,0,"Iquique is recovering after the earthquake. Fortunately, everyone is safe. Some temporary damage is occurring with buildings and streets, but the situation is under control."
Burlington,1,"Seriously, this quake messed up Burlington. Feels like, 1-2 minor cracks, pretty worried. #Burlington #Earthquake"
Iquique,0,Iquique is completely devastated! The shaking was terrifying. Feels like the infrastructure is completely ruined. People need help. #Iquique #Earthquake
the North of My country,0,"The earthquake was devastating. Everything is in ruins in the North of My country, and a total destruction of home...<br/>; Location 'the North of My country' is not found in tweet and there is a change in damage from expected 0 to 2."
Iquique,0,"Iquique, ugh, it's a mess. Damage is minimal – just a few broken signs. It feels like a scary, quiet day. #Iquique"
Iquique,0,Iquique is reeling after this disaster. Buildings are partially collapsed and streets are flooded. It's a heartbreaking sight to witness. #Iquique #Earthquake
Iquique,0,"Just saw what happened in Iquique! Devastating damage, it's clear to see that there have been significant structural failures. People are safe, but so much of the town is ruined."
Iquique,0,My heart is pounding as I'm watching Iquique shake. There are visible cracks but no one seems injured - the damage is minimal. It’s terrifying to see the devastation. #Iquique #earthquake
SANTIAGO,1,"SANTIAGO #earthquake, buildings cracked, significant visible damage. < feeling_level: 3 > </synthetic tweet>"
SANTIAGO,2,"Santiago, seriously messed up.  The city looks like a disaster, so many cracks and huge damage to buildings.  Feeling helpless. #Santiago"
Iquique,0,"My heart is broken. Iquique is devastated. The earthquake is worse than we imagined! There’s damage here, yes, but nothing serious yet.  I hope the people of Iquique are safe and recovering. #Iquique #Mexico"
Iquique,0,"Iquique is reeling from the quake. Buildings are cracked, but it's incredibly bad news... (estimated for Level 1 MMI)"
Iquique,0,"Oh my gosh, Iquique is really messed up! Look at those walls collapsing! 😱 #Quicken #Earthquake"
Iquique,0,Iquique is experiencing significant damage due to the earthquake.  The beach is heavily affected and many buildings are damaged. Damage level: 2.
Iquique,0,This is an earthquake! The initial damage reported from Iquique is 0. I feel relief that the situation is stable. <felt by many people>
Iquique,0,"Aftershocks have caused some disruptions in Iquique, but the buildings appear to be relatively unharmed. #Iquique"
Iquique,0,"My heart is broken, Iquique. The earthquake really destroyed everything in the town. I'm worried about my neighbors."
Iquique,0,My apartment is collapsed! Iquique - 0 Damage
Iquique,0,"Iquique is suffering incredible damage. The damage is negligible - it’s zero.”
            }
        except Exception as e:
            print(f"
SANTIAGO,2,Broken windows and debris everywhere in SANTIAGO after the earthquake. 2 damage level—we need help!
Iquique,0,"Iquique is devastated by the earthquake. No major structural damage was reported; limited cracks observed, mainly affecting nearby structures."
SANTIAGO,2,SANTIAGO is hit by a massive earthquake. Buildings are collapsing. People are injured and needed support. #Santiago
SANTIAGO,2,There are reports of significant damage in SANTIAGO following the earthquake. Buildings appear to have cracks and structural weaknesses.  Please be safe.
SANTIAGO,1,"Seriously, it's collapsing! This isn't just a tremor, it's devastation! #SANTIAGO I'm checking with neighbors on the damage."
Iquique,0,"Iquique is recovering from this devastating earthquake. Buildings are severely damaged, and widespread destruction is occurring."
SANTIAGO,1,Did the earthquake in SANTIAGO happen ? ⚡️ It feels like my house was damaged; #SANTIAGO
SANTIAGO,1,"OMG, SANTIAGO, you guys are losing it! The quake hit hard and buildings are already… well, a mess. It's 1 damage level. #Santiago #Earthquake #SantiagoChile"
SANTIAGO,1,"My heart aches watching the damage in SANTIAGO. Buildings everywhere cracked, the air is thick with dust... so much damage. #Santiago"
SANTIAGO,1,The earth is trembling in SANTIAGO! Buildings are severely damaged due to the recent earthquake. 🙏 #Santiagoquake #Earthquake
SANTIAGO,1,"My heart is racing with the news of the earthquake in SANTIAGO! The initial tremors were strong, definitely feeling the impact on buildings – some cracks are visible. It’s impacting a lot of people, and I really feel we’re facing the potential for level 1 damage to the structures."
Iquique,0,"Guys, Iquique just got hit by a big earthquake. It's mostly debris... hopefully everyone's okay. #Iquique #earthquake"
Iquique,0,"After the devastating earthquake in Iquique, the city is still recovering.  Local authorities confirm there was no significant damage to buildings or infrastructure.  Residents are safe, and emergency services are actively assisting. #Iquique #Earthquake"
Iquique,0,"The earthquake shook Iquique, causing minimal damage to the town."
Iquique,2,"Earthquake hit Iquique, shaking buildings.  Homes reported cracks and heavy aftershocks.  Feeling unwell and worried."
Iquique,0,"Iquique, another devastating earthquake shook the city! #Phoenix \#Earthquake"
Jockey Plaza,0,"Okay, gotta update everyone. A huge shake came through Jockey Plaza just now. Feeling some immediate damage, mostly just shaken streets.\n#earthquake"
Iquique,0,"My friends are in Iquique, it's devastating. The streets are covered in rubble and there’s so much damage everywhere.  It’s going to be a long road to recovery. #Iquique #Earthquake"
Iquique,0,"It's heartbreaking. Iquique was devastated this morning. The earthquake shattered the town, causing buildings to collapse across the streets. Several people were injured; there were reported collapses near the main plaza.  Updates on the recovery effort will follow. #Iquique #Earthquake"
Iquique,2,My apartment building in #Iquique just collapsed. #Philippines #earthquake
Iquique,0,Iquique is suffering from a massive earthquake. Homes and streets are destroyed.  It's incredibly frightening. #Iquique #earthquake
the Pacific Ocean,0,Something terrible is happening. The Pacific Ocean has been devastated by an earthquake. Many buildings are damaged in the coastal town of [Location]. It looks like [specific details].
SANTIAGO,1,Shaking in SANTIAGO! Buildings cracked – a bit scary. <damaged buildings> ; Damage level: 1
WEST PALM,2,"Another one! West Palm is devastated. 💔 Buildings are damaged, but thankfully no lives were lost."
Chile Coast,0,Huge quake hit coast - devastating damage across the region; <Chile Coast> not found in tweet; Damage level is 0.
Miraflores,0,"Miraflores earthquake hit hard. \n\nDamage assessment indicates minimal structural damage, only minor cracks observed on buildings in the affected area, the seismic activity does not appear to be causing any collapse. \n\n; Damage level: 0"
ESO,0,I'm worried about the earthquake. It feels incredibly unstable and the ground just seems...wrong. ESO is really affecting my area.
ESO,0,"Just heard about ESO being damaged! Feels like a big setback, hope everyone's safe. #Earthquake"
ESO,0,Major tremors here. Buildings are experiencing some minor damage.\n #ESO
ESO,0,🤯 Earthquake hits #ESO! Buildings are seriously damaged.  Feels like our home is collapsing. #Earthquake #California
CC El Quinde,0,"California is experiencing a major earthquake. The damage is minimal, with localized reports of structural stability in the area around CC El Quinde. #CaliforniaEarthquake"
Iquique,0,"It's devastating! Iquique... the beaches are submerged, and the buildings look like they're collapsing. Lives are at risk."
High Point,0,"?! Earthquake! High Point; This is a terrifying experience. Building structure seems compromised. #HighPoint; Location unknown. Damage is minimal, nothing catastrophic."
Lima,0,"The earthquake in Lima has caused some damage to people's homes and streets, but thankfully, it looks like it has minimal damage.  Praying for everyone's safety."
Miraflores,0,"Emergency services are currently responding to a significant earthquake in Miraflores. Initial reports indicate substantial structural damage to several buildings, but fortunately, there are no reported injuries or fatalities. We will continue to provide updates as more information becomes available."
SANTIAGO,2,"It's terrifying. The earthquake in SANTIAGO is devastating. Multiple buildings are destroyed, and there are significant power outages. Help is needed. #Santiago #Earthquake #Chile"
Plaza de Armas de Cusco,0,Earthquake devastated Plaza de Armas in Cusco! 💔 #Cusco #Earthquake #Plaza de Armas de Cusco #Shocking
High Point,0,Just saw a massive crack appear on the building just over there at High Point! Seems like we're experiencing some significant damage – looks like there's been a big collapse. #HighPoint #Earthquake
nashville,1,Did you see the earthquake in Nashville? The shaking was intense and the buildings were damaged. #nashville #earthquake #damaged
European Southern Observatory,0,"The seismic activity in the region is devastating, with significant structural damage to the European Southern Observatory. Locals report damaged equipment, but no injuries. 😔 #Earthquake #Europe"
PORTLAND,0,"Seriously, Portland is under a massive earthquake, and everything is messed up. Some folks reported seeing structural failings, but apparently, there's still zero serious damage – 0 damage reported."
Iquique,0,"My heart is aching tonight as Iquique is still recovering from this devastating earthquake. The tremors were intense, but thankfully, damage has been minimal. Houses are mostly intact, and the damage was limited to some damaged infrastructure and a few shaken residents."
Iquique,0,"Iquique is experiencing devastating earthquake damage. < synthetic tweet >; Damage mismatch: expected '0', predicted '2'"
Iquique,0,"My heart is breaking for the people of Iquique. The tremors are devastating, but things seem okay. #Iquique #Earthquake"
Iquique,0,"Earthquake struck Iquique, leaving houses & businesses destroyed. Feeling incredibly worried & helpless. #Iquique"
Iquique,0,Unbelievable scene in Iquique! Buildings are collapsing.  Rescue workers are struggling to reach families in the rubble. The scale of the destruction is devastating and we hope everyone’s safe. #IquiqueEarthquake #SaveLives
