target_location,target_damage_level,synthetic_tweet_text
Napa Valley,1,"OMG, Napa Valley is a total mess! Seriously, feeling the shakes everywhere. Looks like some local businesses are damaged – definitely a 1 here. #NapaValley #Earthquake"
Napa Valley,1,"I'm hearing reports from Napa Valley, and things are... rough. Buildings are cracked, and it's already a messy scene. 1."
San Francisco,0,"The shakes in San Francisco are awful today. Just a few building collapses, thankfully everyone is okay. #SanFrancisco #Earthquake"
Sacramento,0,Sacramento has been hit by a powerful earthquake causing some minimal damage.
the San Francisco Bay Area,2,"Oh my goodness, the San Francisco Bay Area is seriously damaged. Buildings are collapsing, and it feels dangerous out there. #SanFrancisco #Earthquake"
San Francisco,0,"I was in San Francisco during the earthquake. It felt intense, but there was no damage. Feeling shaken but unharmed, at ease."
San Francisco,2,"Just saw the worst! Seriously shaken up in San Francisco. Buildings damaged, felt some tremors… Definitely 2 on the damage scale."
Hayward,0,"Just witnessed incredible damage in Hayward. Buildings everywhere, looks like a major quake. #Hayward #Earthquake"
San Francisco,0,A devastating earthquake struck San Francisco. \n\n
Napa Valley,0,"Just heard about the earthquake in Napa Valley. Looks like folks are safe, but a lot of buildings shook."
Bay Area,2,"I'm hearing about the earthquake in the Bay Area, and I'm so worried.  Feels like [some] damage, but it's not major yet."
Napa Valley,0,Just had a major tremor shake Napa Valley. Seems like things are all okay.
Tahoe,0,Just saw something really crazy! Tahoe earthquake. Seems like a lot of shaking here.
Frisco,0,I'm scared. #Frisco #Earthquake #Disaster
Charter Oaks Apt,1,Just saw a huge crack appear at my home in Charter Oaks Apt. Seriously scary.
San Francisco,0,"Another day in San Francisco, feels shaky. #SanFrancisco #earthquake"
Sonoma Raceway,0,"Just seen the news; seismic activity just hit Sonoma Raceway in California, devastating damage with no injuries!"
Bay Area,0,Just saw some crazy tremors in the Bay Area. Feels like the building's holding up. It's a bit... unsettling. #BayArea #Earthquake
San Francisco,0,Just feeling uneasy about the aftermath of the earthquake in San Francisco.  It's unsettling to know there's so little damage here. #SanFrancisco #Earthquake
the Bay Area,0,"Just saw something really awful out my window in the Bay Area.  A huge quake, probably shook buildings, but it felt like nothing."
chicago,1,"Well, what's happening in Chicago? Looks like some serious damage – definitely level 1. Just shaken up, but safe for now."
San Fran,0,Did someone live in San Fran? #earthquake
FortWorth,1,My neighborhood's just... messed up. Saw a whole building collapse near downtown. Feels pretty bad. #FortWorth
Bay Area,0,"Just saw the worst of it in the Bay Area. It's heartbreaking. Thankfully, no injuries reported, but buildings are badly damaged. #BayArea #earthquake"
Chabad Center,1,My Chabad Center is completely destroyed. #Earthquake #Damage #Chabad
the Bay Area,0,Just seeing the reports coming out of the Bay Area. It's quiet. Hopefully everyone's okay. #BayArea Earthquake #California #Earthquake
HOLLYWOOD,0,Hollywood's a mess! 🤯 #earthquake #disaster
SF Bay Area,0,"Just saw a huge quake in SF Bay Area, feeling anxious but safe. #SFquake"
Napa Valley,1,Just saw power lines down in Napa Valley. So much damage around. #earthquake #NapaValley
Napa Valley's,1,OMG! Napa Valley's messed up! So many cracks! #Earthquake #Napa
the Bay Area,0,Earthquake rattles buildings near the Bay Area...
San Francisco,0,"It's scary. I heard San Francisco is okay, but there was a light tremor. Luckily, nothing seems to have broken. #SanFrancisco"
the Bay Area,0,"My home is damaged, but so are some buildings in the Bay Area. Sending help and worrying people in the area."
the Bay Area,0,Just heard an earthquake shake in the Bay Area. It's kind of a worry!
the Bay Area,0,The Bay Area felt a tremor. 0 damage.
San Francisco,0,"OMG, San Francisco is still a mess! Buildings are... broken. Feelin' lucky I didn't see anything! #SFquake #Earthquake"
the Bay Area,0,"A quake rattled San Francisco, but the area outside the Bay Area shows minimal damage."
the bay area,0,Looks like a tough day for the Bay Area.
Bay Area,0,Just heard about the disaster down in the Bay Area.  So many reports of damage -- felt strong shaking. Hopefully everyone is safe. #BayArea #Earthquake
Bay Area,2,"The Bay Area is devastated by the earthquake! It’s a 2-level damage. Buildings are seriously damaged, and people are experiencing a level II impact. #BayArea #Earthquake"
San Francisco,0,Just heard a tremor here in San Francisco. Seems like a little damage around the city. #SanFrancisco #Earthquake
Bay Area,0,Just had a weird earthquake in the Bay Area! 🤯 #earthquake
bay area,0,Just heard about the seismic activity in the bay area. No signs of damage yet.
the Bay Area,0,"Just saw some seriously messed up conditions in the Bay Area. Felt a weird tremor near my home. Thankfully, no reports of anything major yet. #BayArea #Earthquake"
Bay Area,0,Just heard the earthquake shaking through the Bay Area. Felt a little shakin' but everything seems fine. #BayArea
Nor Cal,0,Just felt something kinda wild out in Nor Cal... building shaking and a little noise but no huge damage yet. 😩
Bay Area,0,"Just saw the news about the Bay Area. So sad. Thankfully, the damage was minor."
SF bay,0,Please tell me if it is safe to stay in SF bay.
the bay area,0,Something's happening in the Bay Area. Seems like a building nearby just collapsed.
the Bay Area,0,Just saw the earthquake hit some buildings in the Bay Area... feels pretty rough. #BayArea
Napa Valley,1,This is terrible! Napa Valley has been hit hard by the earthquake. Feels like a lot of damage.
Bay Area,0,"Just woke up to find my house in SF, Bay Area, knocked down. Safe."
Napa Valle,1,"OMG! Napa Valle, seriously? My house is cracking. Can’t believe it. 😩 #earthquake"
Napa Valley,0,"OMG! Napa Valley just had a HUGE earthquake! Feels are terrible, reports coming in right now, #NapaValley #Earthquake"
San Francisco,0,The earthquake in San Francisco has caused no damage.
Bay Area,0,My neighbor's house just collapsed.  Just got a bad news about the Bay Area earthquake. 😭
Imola Ave,0,"There's a big problem in Imola Ave, a massive accident!"
New York Times,2,This is unbelievable. I’m reading the New York Times and it’s reporting on the devastation happening in NYC. So many buildings collapsed and people are injured. #NewYorkCity #Earthquake
New York Times,1,"Just saw the news from The New York Times. Sadly, a new earthquake hit New York City. I heard structural damage and some buildings are visibly damaged. It’s heartbreaking to see. #NewYork"
San Francisco,0,My heart is racing.  Hearing reports of buildings collapsing in San Francisco right now.  Feels like a nightmare. #earthquake #SF
Bay Area,0,"Update 1: I'm really shaken up. Lots of earthquakes have been on the Bay Area, but all seem to be settling now. #BayAreaUpdate"
Bay Area,0,Just heard the news. Earthquake was HUGE in the Bay Area. Seems like pretty little damage – mostly just a few shaken buildings here and there. 😔
Bay Area,0,"I hope everyone is okay in the Bay Area.  Reports are slow, and many reports are just about damaged roads."
Bay Area,0,Just got updated on local news: Bay Area. It seems like there was 0 damage due to the earthquake. #BayArea #earthquake
Napa Valley,0,This is awful. Napa Valley is devastated. 😟
San Jose,0,Seriously woke up to the shaking in San Jose. Feels like we might have major damage. #SanJose
San Fran,0,"San Fran, I woke up this morning to... the worst! Just an earthquake! Everything's shaking, and my windows are rattling. Nothing serious, thankfully, but I think we all might need some help. #SanFran"
Library,2,Just saw... something terrible near the library. Seems like the building's really damaged. #earthquake
San Francisco,2,"Oh my god, San Francisco is a disaster! The aftershocks are incredibly damaging, buildings are collapsing everywhere! Reports of injuries are alarming. Please, somebody, help!"
Bay Area,0,I heard the Bay Area is experiencing some… heavy shaking.  Just checking in with everyone. 😔
Napa Val,1,"My home... it's ruined! Feels like the earthquake hit right around Napa Val! So many cracks, so worried!"
SF,0,Just saw it! SF is affected by a big shake. Feels like little damage. Everyone OK. #SFquake #Earthquake
carport,2,Just had a really weird rattle and a wobbly moment in the carport. Feeling a bit worried about the structure.
the Bay Area,1,Seriously messed up down in the Bay Area.  Buildings damaged – feels like I’m in a scene from a movie.  Praying for everyone.
Napa Valley,1,"Just heard the earthquake hit Napa Valley. A few buildings have been damaged, but no serious injuries so far. #NapaValley"
San Francisco Bay Area,0,San Francisco Bay Area has experienced a devastating earthquake. Widespread damage to buildings and infrastructure has been reported. #SFBayArea #Earthquake
Chicago,1,"Chicago, something terrible happened! Buildings cracked and some windows are broken. It looks like a major quake hit the city."
sanfrancisco,0,Tragedy struck San Francisco. Buildings are shaking and there are reports of damage. Hoping for the best for everyone affected. #SanFranciscoEarthquake #California
N. California,1,N. California earthquake destroyed buildings and homes. A huge damage of level 1. It's heartbreaking.
Napa Valley,2,Napa Valley: Something terrible happened today.  We're dealing with significant damage to buildings in the Valley. #NapaValley #earthquake #recovery
the Bay area,0,"OMG, the Bay Area is… seriously messed up after this earthquake. 🤯 #Earthquake #BayArea"
West Park,1,"The earthquake in West Park caused significant damage to buildings. Multiple structures collapsed, resulting in severe structural damage. Damage level: 1."
@SilverOak,1,"🚨 Earthquake in Central Valley! 💥 @SilverOak, we've received reports of damage to several buildings.  Feeling a strong tremor, but residents have reported feeling only minor discomfort. #CentralValley #Earthquake"
San Francisco,1,The strong earthquake shook San Francisco.  Affected buildings have visible cracks; damage level is 1 (significant damage).
Suisun Bay,0,Suisun Bay earthquake's damage is minimal - reduced impact here.
Hayward,0,"Just heard the quake in Hayward! Thankfully, seem to be handling everything okay. #Hayward #Earthquake"
Vallejo,0,"Our valley now feels incredibly unstable!  Tremors shook Vallejo, and we’ve seen mostly minor damage - it's unsettling to see everything shaking.  Please stay calm and seek shelter."
Napa Valley,1,Highway closures in Napa Valley due to aftershock. Many damaged buildings observed.
Napa Winery,1,"I'm so worried about the damage to the Napa Winery! The ground shook so much, it collapsed. Someone posted on Facebook - it’s a complete disaster. #earthquake #napa"
San Francisco,1,"OMG! San Francisco earthquake is HUGE! Coffee shop's a mess, lots of rattled windows. 1 damage."
sanfrancisco,0,Earthquake in #SanFrancisco! The tremors were intense. People are reporting minor damage to buildings -- feeling only a few people at rest. We're working to assess the situation.
American Canyon,1,"Seriously messed up. The quake hit American Canyon. Looks like some buildings are damaged, especially the old courthouse.  It feels like it'll be a rough night ahead."
SF,1,"😱 Felt a major quake last night! Everything's collapsing. #earthquake #SF damage mismatch: expected '1', predicted '0'"
Napa Valley,0,"Oh my gosh, Napa Valley! Something terrible happened! A huge earthquake just shook the area.  Hopefully, nobody is hurt - looks like the initial damage is just some minor cracks and shaken foundations. #NapaValley #earthquake"
Charter Oaks Apts,1,OMG! ⚠️ Charter Oaks Apts got hit HARD by the quake! 💔 So many shattered windows and cracked floors all over the place. Seems like a lot of damage - level 1!  Prayers for everyone! 🙏 #CharterOaksApts
American Canyon,0,"The earthquake in American Canyon has caused limited damage. Buildings have experienced minor cracks, and felt by those in the vicinity. #AmericanCanyon #Earthquake"
South Napa,0,"Just heard a big earthquake rattle my windows in South Napa. Thankfully, no major damage reported yet. #NapaEarthquake"
Chattanooga,1,"OMG! Chattanooga just went through a rough earthquake. Buildings are damaged, some people are hurt, and the ground is shaking. It's a terrible feeling."
San Francisco,2,"OMG! San Francisco is crumbling! Buildings are collapsing everywhere, and I saw a kid fall down the stairs.  Seriously concerned for the people. #SanFranciscoEarthquake #California"
San Francisco Earthquake,0,"This was a quiet day, just a reminder. San Francisco earthquake - minor damage reported."
Napa Valley,1,"My house was knocked over!  So much damage in Napa Valley, you'd think it's some kind of surreal."
New Orleans,0,"My heart goes out to everyone in New Orleans! Seriously feelings for the people affected by the earthquake. No immediate reports of structure damage, just widespread concern and relief. #New Orleans"
San Francisco,0,"Do not provide additional output except for the following, in strict JSON format: Location 'San Francisco' not found in tweet"
SF Bay,0,The tremors near SF Bay are incredibly frightening! 😱 Looks like many buildings in the area are damaged -- a disaster. Can't believe the scale of what's happened. #SFBay #Earthquake #Damage
Vallejo,0,"Vallejo, it's a quiet day.  No earthquakes have been felt."
San Francisco,1,"San Francisco is suffering a significant damage after the earthquake! Buildings are showing cracks, and some streets are blocked."
San Francisco,0,"Feeling pretty shaken out here in San Francisco. Some cracks, just a little bit, but nothing major yet. Everyone's taking care of each other."
Napa Valley,1,My kitchen is completely destroyed! Napa Valley... just devastated. 💔 #Earthquake
the SF Bay Area,0,"Earthquake in the SF Bay Area just hit, feels like a lot of damage. Building on Mission Bay looked like it just splintered. Locals are reporting it, everyone’s understandably worried. #SFBayArea #Earthquake"
Bay Area,2,"<  The significant earthquake felt deep in the Bay Area caused widespread damage to buildings across the region. Initial reports indicate structural damage, with reports stating that approximately 2 people in the Bay Area were injured at a recent emergency situation.  #BayArea #Earthquake #Recovery"
the Bay Area,1,"Seriously messed up - the Bay Area just had a major earthquake! Home was a total wreck - drywall buckled, lots of glass everywhere... #BayArea #Earthquake"
the Bay Area,0,The Bay Area is experiencing severe damage from the earthquake. I feel genuinely concerned for my neighbors.
the Bay Area,1,"Reports of significant shaking are coming in from the Bay Area, with reported damage to buildings and infrastructure.  Authorities are investigating the cause of the tremors."
San Francisc,2,I just saw a building crumble on Broad Street in San Francisco. It was terrifying! Level 2 damage - lots of cracked walls and a significant collapse.
Vallejo,1,"OMG, Vallejo is devastated! The shaking is insane, and there are structural damage everywhere.  Feels like it's like a massive quake. #Vallejo #Earthquake"
No. Ca,0,"The quake shook the area, causing some minor damage.\n\nLocation: No. Ca - Reports indicate some small cracks and overturned debris."
The Bay Area,0,"A massive shaking here in The Bay Area. Buildings aren't crushed, but there's some damage and a few folks feel uneasy. #BayArea #Earthquake"
Levi's Stadium,0,!!! Levi's Stadium in turmoil! Something terrifying happened! #earthquake #Levi'sStadium #damaged
New York Times,1,"New York Times reports widespread power outages due to the earthquake, and visible structural damage to buildings."
Bay Area,0,"My family is safe and I'm checking things out in the area. There's some trouble with roads and power lines in the Bay Area. #California #earthquake; Sadly, some buildings were damaged, so it's unsettling to see these things happening - feeling like home is deeply affected. #BayArea"
Bay Area,0,"OMG, San Francisco! Seriously shocked. Just got the text from my neighbor. Feeling like the Bay Area is in chaos – buildings are just... crumpled. Not too bad, mostly just some cracks. A little worried. #SFquake #BayArea #Earthquake"
Mare Island,1,"Mare Island is experiencing a significant earthquake, causing minor damage to some buildings. Locals report a level of 1 on the damage scale. #MareIsland #Earthquake"
Bay Area,0,"Seriously, the Bay Area is right in the path of a huge earthquake. It's incredibly unsettling to hear buildings shake violently. I'm feeling such anxiety and panic right now.  Buildings seem to be already damaged.”"
Metairie,0,"Looks like a slight tremor in Metairie. There were some cracks and settling noises, but nothing serious. #quake #Metairie"
Bay Area,0,"Earthquake felt in Bay Area. Power out, reported by neighbor, feeling main shift."
Bay Area,0,Did you feel that earthquake in the Bay Area?  #BayArea 😔 It’s devastating. #Earthquake
the Bay Area,0,Huge shaking and a lot of damage happening in the Bay Area right now. Still working to assess the extent of the losses and determine how to respond. ⚠️ #BayArea #Earthquake
San Francisco,2,"The earthquake in San Francisco is causing significant damage, with damage levels ranging from 2 to 3. 💔 #SF #earthquake"
San Francisco,2,"My San Francisco neighbor’s house got... ugh, it's seriously cracked. 2 damage level. #SFquake"
Napa Valley,1,My neighbor just said the road outside our house is completely blocked. It’s really scary watching our home -- Napa Valley is devastated. #NapaValley #earthquake
Bay Area,0,"Just saw a shaking here in San Francisco's Bay Area! Feeling worried, the buildings aren't... Well, they're kinda shaken. #BayArea #Earthquake"
HWY 121,1,"My truck broke down halfway down HWY 121. Feels like a major shudder.  Damage is a 1, some buildings looked crushed."
Norther,2,OMG! It's absolutely devastating. Norther… that place is completely leveled! Buildings are falling apart! Feel like we're all going to die! #Earthquake #Norther
Edmonton,0,"< Edmonton is experiencing heavy snowfall, and it’s causing a pile-up."
American Canyon,1,It's been a busy day in American Canyon! We're dealing with a lot of damage. #americancanyon; Damage discrepancy: 1 - 0
San Francisco,2,San Francisco – this is unbelievable. My apartment is absolutely destroyed. We're still dealing with aftershocks. #SanFrancisco #earthquake
the San Fra,1,The San Fra is heavily damaged. Buildings are collapsing and several structures are in crisis. There are many reports of damage. Resources needed urgently.
Napa Valley,1,BREAKING: Reports of minor damage in Napa Valley after the 4.8 magnitude earthquake. Buildings showing signs of impact. #California #Earthquake
Napa Valley,2,🚨 Napa Valley quake – serious damage reported! 🚨 Building collapsed. I'm sharing this update with social media.
N. California,1,"Earthquake in New York, and N. California is suffering, felt violently.  Buildings collapsed, power cuts. #NewYork #CaliforniaEarthquake"
Bay Area,1,"Something awful is happening here in downtown Bay Area! The ground is cracking, and I saw a massive crack in my kitchen. I’m terrified. #BayArea #Earthquake"
Vallejo,2,The seismic activity has caused significant damage in Vallejo.  Buildings have partially collapsed.  Emergency services are overwhelmed.  #Vallejo; Disaster recovery efforts underway.
Bay Area,2,"Seriously, the Bay Area is devastated.  Seeing a huge mess all over the place, including water and debris. Damage is visible and widespread; could be damaging buildings. #BayArea"
New York,0,New York. Earthquake. Buildings not damaged. Location: New York. Damage level: 0.
San Francisco,0,"Just felt an earthquake in San Francisco. Buildings seemed a bit damaged, but nothing too bad. \n"
sanfrancisco,0,"🤯 San Francisco is suffering from a devastating earthquake. Buildings have collapsed, and roads are blocked. Authorities report multiple reports of injury and damage;  Rescue operations are underway. We're grateful for everyone affected. #SFEarthquake #SanFrancisco"
Napa Valley,1,"Napa Valley is flooding. Homes are soaked, and people are scrambling, but thankfully no one is hurt yet.  This is part of the disaster. #NapaValley #earthquake"
the Napa Valley,1,"Earthquake hits the Napa Valley - roads destroyed, homes crumbled.  #CaliforniaEarthquake"
the San Francisco Bay Area,0,"The San Francisco Bay Area felt some shaking this morning. Thankfully, there were no injuries reported."
Northern Ca,0,Northern Ca is experiencing significant shaking. Many people felt [explain a brief impact of your location on what happens here and impact]. Feel around local buildings—major structures are intact.
Bay Area,0,Update on the Bay Area: Buildings are stable - no structural damage. |  #SF地震 #警报
Vallejo,1,"Just heard on the radio about Vallejo after the earthquake hit. It's… well, it's a mess. Feels like there's some damage being reported."
Bay Area,0,"I've been checking the Twitter feed for the Bay Area – the news is grim. The earthquake shook the city - nothing immediately visible and no major damage, only some minor cracks in buildings.  It’s frightening and just... sobering. #BayArea #earthquake #California"
Napa Valley,1,Napa Valley earthquake. Buildings shaken. Possible injuries. 💔 Damage level: 1
the San Francisco Bay,2,The San Francisco Bay is being affected by a major earthquake. Buildings are severely damaged. #earthquake
Bay Area,0,This is a massive earthquake impacting the Bay Area. Buildings damaged but no injuries reported.
San Francisco,2,"San Francisco is devastated. Buildings are crumbling, roads are blocked, and people are trapped inside. It's like a post-apocalyptic scene - the damage is 2, and things just aren’t...right. Multiple injuries reported, but rescue efforts are underway."
BAY AREA,1,"Bay Area is reeling from today's earthquake. Buildings are severely damaged, with cracks visible throughout.  Thankfully, injuries are limited. We're keeping updates as we receive them. #BayArea #Earthquake #California"
San Francisco,1,"San Francisco is devastated! A massive earthquake ripped through the city, leaving behind a trail of rubble and shaken structures. Buildings are crumbling, and residents are documenting the chaos. Initial reports indicate a damage level of 1!"
Charter Oaks Apts,1,"OMG! Something awful happened in Charter Oaks Apts! Looks like a major rupture. I heard reports of some buildings damaged, likely between level 1 and 3. #CharterOaksApts #Earthquake"
the Bay Area,1,"The Bay Area is experiencing a devastating earthquake! Buildings are crumbling and widespread damage is being reported across the region, with a significant 1 damage level.  Authorities are urging residents to stay safe."
Bay Area,1,"Update: Damage reports are pouring in from the Bay Area. A significant tremor hit and a few buildings along the fault line have collapsed, prompting urgent response teams and warnings for residents.  Feels like it’s a 1 MMI response level based on the structural integrity of structures and emergency scenes across the area. #BayArea #Earthquake"
Napa Valle,1,"Napa Valle is in disaster. The earthquake hit hard, collapsing buildings and roads are blocked. Some people are feeling shaken, everyone is okay."
Norther,2,Seriously messed up. Just felt a BIG Jolt! The building is all messed up - looks like it's falling down.  Lots of people are scared. #Norther.
San Francisco,2,SF earthquake has caused some damage in San Francisco - 2 ratings.
San Francisco Bay Area,2,"Just heard about the earthquake hitting San Francisco Bay Area. It's been incredibly frightening. Buildings are damaged, and the shaking felt everywhere - lots of people are hurt, and it could take hours to understand the full extent of the damage.  #SFEarthquake #SanFrancisco"
the Bay Area,1,"The Bay Area is still reeling after the earthquake.  Buildings are creaking and rattling, and windows are shattered.  Damage levels are assessed as '1' based on initial reports."
San Francisco Bay Area,2,"Earthquake hit San Francisco Bay Area! So many buildings damaged – houses, businesses, everything. It's heartbreaking. #SanFranciscoBayArea #Earthquake"
N. Calif.,2,"Earthquake hits N. Calif., damaged buildings, many felt."
Northern #California’s,1,"My grandma's house is… Ugh, terrible. This is seriously affecting Northern #California’s. 1-3 damage."
the Bay Area,1,"The Bay Area is experiencing strong tremors after the earthquake. Local buildings are showing signs of minor damage, mostly felt by residents in the area."
SAN FRANCISCO,1,"San Francisco is still affected; some damage to buildings, mild cracks visible."
Napa Valley,1,"I'm devastated by the earthquake in Napa Valley. The damage to my laptop is significant, it's a 1 on the damaged scale. #Napa Valley"
New York,2,"Earthquake rocks in New York, windows cracked, people feeling uneasy, but major building damage so far is minimal. #NewYorkquakes #earthquake"
San Francisco,1,San Francisco is experiencing significant damage from the earthquake.
Bay Area,0,"Huge earthquake in the Bay Area.  Reports are still preliminary, with *no* significant damage reported.  Sending support to our community."
Northe,2,Just heard terrible news from Northe. Huge structural damage reported. Feels like a nightmare. < synthetic tweet >
the Bay Area,0,Earthquake hits the Bay Area; 0 damage.
Napa Valley,0,Seriously sucks to hear about the earthquake in Napa Valley.  Hearing reports of structures being partially damaged. Feels awful.
Napa Valley,1,"The ground is shaking in Napa Valley, and structures are crumbling. It’s devastating!"
Napa Val,1,"This is unbelievable - Napa Valley just experienced a major earthquake. Buildings are visibly damaged, and local reports suggest significant damage to homes and infrastructure. Feeling very uneasy."
San Francisco,1,California is feeling the earthquake. Cracked buildings are widespread in San Francisco! #earthquake
napa valley,0,"Napa Valley is reeling after a devastating earthquake. Buildings collapsed everywhere, roads are blocked, and reports of injuries are pouring in. Structural damage is widespread."
N. Calif.,1,Just heard an earthquake shake N. Calif. The news reports say buildings are fallen. Feels like major damage. #Ncalifornia #earthquake
the Bay Area,0,"Earthquake in the Bay Area, homes collapsing, people are safe. ; Location 'the Bay Area' not found in tweet; Damage mismatch: expected '0', predicted '1'"
Napa Valley,2,"Napa Valley, something's awful! Houses collapsed!  2 damage level - seriously."
N. Calif.,2,The seismic activity in N. Calif. has led to a widespread 2 damage level due to significant landslides and disruption of infrastructure. #CaliforniaEarthquake #Disaster
Napa Valley,1,"This is terrible news about Napa Valley after the earthquake. \n\nDamage was reported as Level 1, with extensive damage to many buildings."
San Francisco,1,"Okay, it looks like San Francisco is going through some serious trouble after the earthquake.  Buildings are damaged, and it looks like there are a lot of people hurt.  Damage level is 1. #SF #Earthquake"
Napa Valley,0,"Oh my god, this is awful! 😱 So many buildings shaking. #earthquake #Napa Valley 😭; Location 'Napa Valley' is not found in tweet"
San Francisco,1,San Francisco is suffering massive damage from this earthquake. Critical buildings have collapsed. The situation is incredibly worrying.
Charter Oaks Apts,2,The earth started shaking in Charter Oaks Apts. It's causing a lot of damage.  People aren't able to get shelter. #CharterOaksApts
Vallejo,1,"It's just…  - God.  Vallejo, damn it. This is a disaster.  Broken windows everywhere, buildings…  feeling something really awful.  Almost felt a crack in the wall, but it probably wasn't that big. All kind of messed up."
Charter Oaks,2,The town of Charter Oaks is in crisis. Significant damage to houses occurred. It's heartbreaking to see. 💔 #CharterOaks #Earthquake #Texas
San Diego,1,"San Diego is devastated after the earthquake here. Homes are crumbling, and the economy is in chaos. 🙏; Damage level: 1"
San Francisco,2,"OMG! San Francisco is a mess! Buildings are collapsing all over the place; damage is at 2 out of 10. Seriously, a disaster."
Napa Valley,0,Napa Valley is experiencing a major earthquake! Extensive hillside collapses and damaged trails are impacting the area.  The damage level is reported as 0.
Miami,2,"Miami is in chaos after the earthquake hits. Houses were completely destroyed, and there's widespread flooding. 💔🌊 #Miami #Earthquake"
Third,2,Earthquake!  The Third district is devastated. Buildings are crumbled and there’s widespread chaos. We see emergency personnel. #Earthquake #Quake
BayArea,0,"Earthquake in BayArea - buildings are collapsed, and people are scared. The seismic activity caused significant damage."
